OFFENSE,VIOLENT
DIS MATTER HARMFUL TO JUV - ALLOW TO REVIEW,1
DISCH FIREARM ON/NEAR PROH PREM-SCHOOL/CHURCH/DWELLING OF ANOTHER/CHARIT INSTIT,1
DISCHARGE FIREARM ON/NEAR PROHIBITED PREMISES,1
DISORDERLY CONDUCT,0
DISORDERLY CONDUCT - INTERFERING WITH OTHERS,0
DISORDERLY CONDUCT-FIGHTING/THREATENING,1
DISORDERLY CONDUCT-OFFENSIVE GEST/NOISE,0
DISRUPTING PUBLIC SERVICE,0
DISSEMINATE MATTER HARMFUL TO JUVENILES,1
DOMESTIC VIOLENCE,1
DOMESTIC VIOLENCE - BELIEF IMMINENT HARM,1
DOMESTIC VIOLENCE - KNOWINGLY HARM,1
EMBEZZLEMENT,0
ENDANGERING CHILDREN,1
ENDANGERING CHILDREN - ABUSE,1
ENDANGERING CHILDREN-CORPORAL PUNISHMENT,1
ENDANGERING CHILDREN-OP VEH UNDER INFL CHILD<18,1
ENDANGERING CHILDREN-RISK HARM,1
ENDANGERING CHILDREN-TORTURE/CRUELLY ABUSE,1
ETHNIC INTIMIDATION,0
EXTORTION,0
FAIL COMPLY ORDER/SIGNAL OF PO-ELUDE/FLEE,0
FAIL TO PROVIDE FOR FUNCTIONALLY IMPAIRED PERSON,0
FAILURE TO COMPLY ORDER/SIGNAL OF PO,0
FEL ASSLT - SEXUAL CONDUCT W/O DISCLOSING HIV KNOWLEDGE,1
FELONIOUS ASSAULT,1
FELONIOUS ASSAULT - VICTIM SERIOUSLY HARMED,1
FELONIOUS ASSAULT - WEAPON OR ORDNANCE,1
FORGERY,0
FORGERY - COPY,0
 NOT GENUINE,0
FORGERY - UTTER,0
 POSSESS TO UTTER,0
FORGERY - WITHOUT AUTHORITY,0
GROSS SEX IMP - VICT MENTAL/PHYSICAL COND,1
GROSS SEXUAL IMPOSITION,0
GROSS SEXUAL IMPOSITION - < 13 YRS,1
 STATUTORY,1
GROSS SEXUAL IMPOSITION - FORCE,1
HAVING WEAPONS WHILE UNDER DISABILITY,0
HAZING,0
ILLEGAL POSS FIREARM IN LIQUOR PERMIT PREMISES,0
ILLEGAL USE FOOD STAMPS/WIC PROGRAM BENEFITS,0
ILLEGAL USE OF MINOR IN NUDITY ORIENTED MATERIAL,0
IMPERSONATING PEACE OFFICER/PRIVATE POLICEMAN,0
IMPERSONATING PO/PRIVATE POLICEMAN-FACILITATE CRIME,0
IMPORTUNING,0
IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL,1
